"country_name","total_downloads"
"",229
"Anonymous Proxy",2
"Satellite Provider",2
"United Arab Emirates",30
"Albania",1
"Argentina",88
"Austria",157
"Australia",1151
"Aruba",1
"Azerbaijan",1
"Bosnia and Herzegovina",1
"Bangladesh",12
"Belgium",544
"Burkina Faso",2
"Bulgaria",13
"Bahrain",3
"Benin",15
"Bolivia",5
"Brazil",185
"Bahamas",2
"Belarus",9
"Canada",1494
"Congo, The Democratic Republic of the",2
"Switzerland",109
"Cote D'Ivoire",1
"Chile",72
"Cameroon",22
"China",1259
"Colombia",92
"Costa Rica",5
"Cape Verde",4
"Cyprus",25
"Czech Republic",67
"Germany",851
"Denmark",239
"Algeria",31
"Ecuador",42
"Estonia",42
"Egypt",197
"Spain",468
"Ethiopia",2
"Europe",2
"Finland",37
"Faroe Islands",1
"France",3447
"Gabon",1
"United Kingdom",2586
"Grenada",1
"Georgia",8
"Guadeloupe",11
"Greece",166
"Guatemala",1
"Hong Kong",120
"Croatia",55
"Haiti",1
"Hungary",20
"Indonesia",34
"Ireland",175
"Israel",108
"India",305
"Iraq",11
"Iran, Islamic Republic of",86
"Iceland",7
"Italy",213
"Jamaica",2
"Jordan",4
"Japan",262
"Kenya",17
"Cambodia",35
"Korea, Republic of",223
"Kuwait",4
"Kazakhstan",2
"Lao People's Democratic Republic",42
"Lebanon",55
"Sri Lanka",26
"Lithuania",5
"Luxembourg",7
"Latvia",6
"Morocco",21
"Moldova, Republic of",1
"Montenegro",1
"Madagascar",4
"Macedonia",1
"Mali",1
"Mongolia",2
"Macau",12
"Martinique",5
"Malta",27
"Mauritius",2
"Mexico",342
"Malaysia",11
"Nigeria",8
"Nicaragua",1
"Netherlands",419
"Norway",90
"Nepal",8
"New Zealand",84
"Oman",2
"Panama",3
"Peru",32
"Philippines",22
"Pakistan",14
"Poland",246
"Puerto Rico",5
"Palestinian Territory",4
"Portugal",524
"Qatar",19
"Romania",63
"Serbia",48
"Russian Federation",44
"Rwanda",2
"Saudi Arabia",255
"Sudan",1
"Sweden",153
"Singapore",71
"Slovenia",145
"Slovakia",15
"Senegal",37
"South Sudan",19
"Togo",4
"Thailand",48
"Tunisia",22
"Turkey",573
"Trinidad and Tobago",2
"Taiwan",44
"Tanzania, United Republic of",9
"Ukraine",15
"Uganda",7
"United States",25477
"Uruguay",7
"Venezuela",18
"Vietnam",31
"South Africa",172
"Zambia",2
"Zimbabwe",2