"user_agent","total_downloads"
"AndroidDownloadManager",4
"AntennaPod",3
"Apache-HttpClient",6
"APKXDL",68
"Apple Mac OS X v",68
"AppleCoreMedia",5234
"aria",1
"Chrome",13780
"com",9
"Crowsnest",1
"curl",3
"Dalvik",361
"EdgeAccel",19
"EMAudioPlayer",40
"ExoPlayerDemo",12
"facebookexternalhit",4
"Firefox",5694
"foobar",4
"Googlebot-Video",3723
"H",1
"HbbTV",1
"HTC Streaming Player htc",1
"iTMS",7
"iTunes",1440
"iTunes-iPod",1
"itunesstored",258
"Java",3
"Lavf",241
"LG-H",25
"LG-V",1
"LGMS",1
"libwww-perl",1
"ltx",2
"Mixcloud",3
"MixcloudPodcastImporter",75
"Mozilla",5836
"MSIE",243
"NexPlayer",3
"NSPlayer",62
"okhttp",457
"Opera",3
"Overcast",181
"PantechP",1
"Player",27
"Player FM",34
"Pocket Casts",116
"PocketParser",1
"Podcast Addict - Dalvik",201
"PodcastAddict",112
"PodCruncher",76
"Podkicker Pro",1
"python-requests",121
"Python-urllib",1
"QuickTime",90
"RSS",1
"RSSRadio",132
"RSSRadio7",8
"Safari",4273
"Samsung GT-I",30
"Samsung GT-N",33
"Samsung SAMSUNG-SGH-I",5
"Samsung SAMSUNG-SM-G",23
"Samsung SC-",2
"Samsung SCH-I",6
"Samsung SGH-I",1
"Samsung SGH-M",3
"Samsung SM-A",3
"Samsung SM-C",2
"Samsung SM-G",71
"Samsung SM-J",3
"Samsung SM-N",29
"Samsung SM-S",1
"Samsung SM-T",18
"Samsung SPH-L",6
"Sonos",3
"SonyC",1
"SonyD",6
"SonyE",1
"SonyEricssonLT",32
"SonySGP",1
"stagefright",232
"Stitcher",448
"Stitcher/Android",154
"Stitcher/iOS",122
"stitcherbot",361
"T",1
"Twitterbot",39
"Unknown",18
"vivo",5
"VLC",1
"WebProcess",5
"Wget",3
"WordPress",15
"Xenu Link Sleuth",1