"week_start","year","month","day","total_downloads"
"2014-07-27",2014,"July",27,51
"2014-08-03",2014,"August",3,20
"2014-08-10",2014,"August",10,43
"2014-08-17",2014,"August",17,59
"2014-08-24",2014,"August",24,36
"2014-08-31",2014,"August",31,49
"2014-09-07",2014,"September",7,67
"2014-09-14",2014,"September",14,143
"2014-09-21",2014,"September",21,22
"2014-09-28",2014,"September",28,76
"2014-10-05",2014,"October",5,112
"2014-10-12",2014,"October",12,177
"2014-10-19",2014,"October",19,69
"2014-10-26",2014,"October",26,85
"2014-11-02",2014,"November",2,180
"2014-11-09",2014,"November",9,369
"2014-11-16",2014,"November",16,632
"2014-11-23",2014,"November",23,271
"2014-11-30",2014,"November",30,441
"2014-12-07",2014,"December",7,385
"2014-12-14",2014,"December",14,115
"2014-12-21",2014,"December",21,101
"2014-12-28",2014,"December",28,89
"2015-01-04",2015,"January",4,95
"2015-01-11",2015,"January",11,104
"2015-01-18",2015,"January",18,82
"2015-01-25",2015,"January",25,241
"2015-02-01",2015,"February",1,307
"2015-02-08",2015,"February",8,366
"2015-02-15",2015,"February",15,325
"2015-02-22",2015,"February",22,387
"2015-03-01",2015,"March",1,195
"2015-03-08",2015,"March",8,510
"2015-03-15",2015,"March",15,214
"2015-03-22",2015,"March",22,385
"2015-03-29",2015,"March",29,254
"2015-04-05",2015,"April",5,289
"2015-04-12",2015,"April",12,288
"2015-04-19",2015,"April",19,485
"2015-04-26",2015,"April",26,197
"2015-05-03",2015,"May",3,325
"2015-05-10",2015,"May",10,347
"2015-05-17",2015,"May",17,357
"2015-05-24",2015,"May",24,433
"2015-05-31",2015,"May",31,429
"2015-06-07",2015,"June",7,268
"2015-06-14",2015,"June",14,380
"2015-06-21",2015,"June",21,504
"2015-06-28",2015,"June",28,389
"2015-07-05",2015,"July",5,331
"2015-07-12",2015,"July",12,373
"2015-07-19",2015,"July",19,433
"2015-07-26",2015,"July",26,420
"2015-08-02",2015,"August",2,406
"2015-08-09",2015,"August",9,329
"2015-08-16",2015,"August",16,594
"2015-08-23",2015,"August",23,333
"2015-08-30",2015,"August",30,642
"2015-09-06",2015,"September",6,262
"2015-09-13",2015,"September",13,627
"2015-09-20",2015,"September",20,369
"2015-09-27",2015,"September",27,456
"2015-10-04",2015,"October",4,570
"2015-10-11",2015,"October",11,448
"2015-10-18",2015,"October",18,426
"2015-10-25",2015,"October",25,434
"2015-11-01",2015,"November",1,323
"2015-11-08",2015,"November",8,427
"2015-11-15",2015,"November",15,385
"2015-11-22",2015,"November",22,278
"2015-11-29",2015,"November",29,296
"2015-12-06",2015,"December",6,274
"2015-12-13",2015,"December",13,548
"2015-12-20",2015,"December",20,363
"2015-12-27",2015,"December",27,203
"2016-01-03",2016,"January",3,230
"2016-01-10",2016,"January",10,524
"2016-01-17",2016,"January",17,467
"2016-01-24",2016,"January",24,671
"2016-01-31",2016,"January",31,653
"2016-02-07",2016,"February",7,582
"2016-02-14",2016,"February",14,309
"2016-02-21",2016,"February",21,520
"2016-02-28",2016,"February",28,708
"2016-03-06",2016,"March",6,413
"2016-03-13",2016,"March",13,390
"2016-03-20",2016,"March",20,370
"2016-03-27",2016,"March",27,535
"2016-04-03",2016,"April",3,471
"2016-04-10",2016,"April",10,387
"2016-04-17",2016,"April",17,764
"2016-04-24",2016,"April",24,615
"2016-05-01",2016,"May",1,347
"2016-05-08",2016,"May",8,455
"2016-05-15",2016,"May",15,610
"2016-05-22",2016,"May",22,645
"2016-05-29",2016,"May",29,514
"2016-06-05",2016,"June",5,496
"2016-06-12",2016,"June",12,577
"2016-06-19",2016,"June",19,539
"2016-06-26",2016,"June",26,381
"2016-07-03",2016,"July",3,429
"2016-07-10",2016,"July",10,558
"2016-07-17",2016,"July",17,406
"2016-07-24",2016,"July",24,453
"2016-07-31",2016,"July",31,448
"2016-08-07",2016,"August",7,422
"2016-08-14",2016,"August",14,238
"2016-08-21",2016,"August",21,225
"2016-08-28",2016,"August",28,590
"2016-09-04",2016,"September",4,545
"2016-09-11",2016,"September",11,454
"2016-09-18",2016,"September",18,459
"2016-09-25",2016,"September",25,535
"2016-10-02",2016,"October",2,576
"2016-10-09",2016,"October",9,411
"2016-10-16",2016,"October",16,374
"2016-10-23",2016,"October",23,405
"2016-10-30",2016,"October",30,275
"2016-11-06",2016,"November",6,345
"2016-11-13",2016,"November",13,434
"2016-11-20",2016,"November",20,340
"2016-11-27",2016,"November",27,367